               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091845,            0.031947,            0.023509,            0.054929,             0.20968,              0.0655,            0.014015,            0.031045,            0.019671,           0.0087402,             0.07075,             0.00325,             0.00325
                   1,            0.058115,            0.029591,             0.01439,             0.53644,             0.12903,            0.058844,            0.009079,            0.033326,            0.016728,           0.0083374,            0.040728,           0.0065616,           0.0065616
                   2,            0.055812,            0.022743,            0.010289,             0.67287,             0.27419,             0.21943,            0.045017,            0.034985,            0.017348,           0.0086161,            0.010685,           0.0098512,           0.0098512
                   3,            0.055556,             0.02086,           0.0087897,             0.58968,             0.19355,            0.094868,            0.026137,            0.025736,             0.01394,           0.0080455,            0.009901,            0.009901,            0.009901
                   4,            0.051272,            0.019138,           0.0077663,             0.87866,             0.35241,              0.4833,             0.14643,            0.020199,            0.011621,           0.0070979,            0.009901,            0.009901,            0.009901
                   5,            0.043239,            0.017353,           0.0056931,             0.87807,             0.40019,             0.46761,             0.17984,            0.020959,            0.009667,           0.0061325,            0.009868,            0.009868,            0.009868
                   6,            0.041642,            0.015434,           0.0065232,             0.93212,             0.40323,              0.4953,             0.13491,            0.020424,           0.0094965,           0.0050186,            0.009835,            0.009835,            0.009835
                   7,            0.044708,            0.014337,           0.0056628,             0.92944,             0.43548,             0.55327,              0.4179,            0.014833,           0.0086162,           0.0037125,            0.009802,            0.009802,            0.009802
                   8,            0.039342,             0.01277,           0.0047565,             0.96361,                 0.5,             0.66437,             0.44302,            0.015498,           0.0084043,           0.0028636,            0.009769,            0.009769,            0.009769
                   9,            0.036654,            0.013972,            0.004008,             0.97031,                 0.5,             0.88663,             0.63981,            0.006556,            0.008131,           0.0031245,            0.009736,            0.009736,            0.009736
                  10,            0.034951,            0.012472,           0.0039383,             0.64618,                 0.7,             0.77419,             0.50237,            0.014455,           0.0083282,           0.0026174,            0.009703,            0.009703,            0.009703
                  11,            0.036022,            0.012184,           0.0040281,             0.42046,                 0.9,             0.81749,             0.41626,            0.013798,           0.0078699,           0.0022179,             0.00967,             0.00967,             0.00967
                  12,            0.033649,            0.011964,           0.0029854,             0.76952,                 0.8,             0.83709,             0.46023,            0.017523,           0.0079051,           0.0021095,            0.009637,            0.009637,            0.009637
                  13,            0.031266,            0.011493,            0.002572,             0.75048,                 0.8,             0.82907,             0.58592,            0.012747,           0.0070277,            0.001798,            0.009604,            0.009604,            0.009604
                  14,            0.032567,               0.011,           0.0027143,             0.90777,                 0.9,             0.89436,             0.48146,           0.0094174,           0.0065446,           0.0015325,            0.009571,            0.009571,            0.009571
                  15,            0.029071,            0.011047,           0.0027938,             0.95228,                 0.9,             0.89203,             0.66756,           0.0092124,           0.0066396,           0.0015121,            0.009538,            0.009538,            0.009538
                  16,            0.029927,            0.010898,           0.0057519,             0.97552,             0.77531,              0.8534,             0.65803,           0.0071854,           0.0061837,           0.0012521,            0.009505,            0.009505,            0.009505
                  17,            0.029179,            0.010585,           0.0027775,             0.72553,                 0.9,             0.88393,             0.57499,            0.013343,           0.0058114,           0.0011676,            0.009472,            0.009472,            0.009472
                  18,            0.028416,           0.0096061,           0.0023207,             0.97049,                 0.9,             0.90476,             0.42132,             0.01489,           0.0053666,           0.0011075,            0.009439,            0.009439,            0.009439
                  19,            0.025704,           0.0094363,           0.0025238,             0.95364,                 0.9,             0.90678,             0.61753,            0.010108,           0.0050646,           0.0011344,            0.009406,            0.009406,            0.009406
                  20,            0.028722,           0.0099577,           0.0026635,             0.96932,                 0.9,             0.94462,              0.6138,            0.011796,           0.0048313,           0.0011196,            0.009373,            0.009373,            0.009373
                  21,            0.025211,           0.0091033,           0.0026095,             0.86763,             0.88762,              0.9325,              0.5237,            0.012792,           0.0050102,           0.0011777,             0.00934,             0.00934,             0.00934
                  22,             0.02581,           0.0094657,           0.0020829,              0.9706,                 0.9,             0.92752,             0.70697,           0.0077577,           0.0047229,           0.0012023,            0.009307,            0.009307,            0.009307
                  23,            0.026002,            0.009523,           0.0016824,             0.95534,                 0.9,              0.9337,             0.58698,           0.0095952,            0.004434,           0.0011102,            0.009274,            0.009274,            0.009274
                  24,             0.02887,           0.0092407,           0.0021658,             0.86492,                 0.8,             0.88873,             0.73324,           0.0071654,           0.0045424,           0.0010765,            0.009241,            0.009241,            0.009241
                  25,            0.023468,           0.0091011,           0.0031405,             0.92909,                 0.8,             0.89193,             0.70679,           0.0051161,            0.004824,           0.0010654,            0.009208,            0.009208,            0.009208
                  26,            0.025595,           0.0089877,           0.0019968,             0.79859,                 0.9,             0.89156,             0.68459,           0.0081833,           0.0052396,           0.0010152,            0.009175,            0.009175,            0.009175
                  27,            0.025075,           0.0097715,           0.0023315,             0.98364,             0.89555,             0.92893,             0.68543,           0.0070816,           0.0050659,            0.001019,            0.009142,            0.009142,            0.009142
                  28,            0.022112,           0.0089664,           0.0018727,             0.96771,                 0.9,             0.94359,             0.73301,           0.0047766,           0.0040709,            0.001076,            0.009109,            0.009109,            0.009109
                  29,            0.022033,           0.0086548,           0.0025511,             0.96701,                 0.9,             0.96502,             0.69483,           0.0094341,           0.0043788,           0.0010652,            0.009076,            0.009076,            0.009076
                  30,            0.021708,           0.0083406,           0.0018459,             0.97283,                 0.9,             0.94156,             0.68315,           0.0097682,           0.0041177,           0.0010103,            0.009043,            0.009043,            0.009043
                  31,            0.022812,           0.0087695,           0.0020494,             0.96664,                 0.9,             0.92118,             0.70199,           0.0060198,           0.0042804,           0.0010824,             0.00901,             0.00901,             0.00901
                  32,            0.023408,           0.0086355,           0.0037158,             0.87583,                 0.9,             0.89984,             0.55798,            0.007078,           0.0042163,           0.0010333,            0.008977,            0.008977,            0.008977
                  33,            0.022103,           0.0088614,           0.0021113,             0.87448,                 0.9,             0.89297,             0.63285,           0.0089078,           0.0045168,             0.00104,            0.008944,            0.008944,            0.008944
                  34,            0.018196,           0.0081556,           0.0022743,             0.97566,                 0.9,             0.92999,             0.66613,           0.0094045,           0.0040523,          0.00096715,            0.008911,            0.008911,            0.008911
                  35,            0.020408,           0.0085552,           0.0016383,             0.97603,                 0.9,             0.92165,             0.76759,            0.008121,           0.0038687,          0.00099583,            0.008878,            0.008878,            0.008878
                  36,            0.020513,           0.0082973,           0.0013919,             0.97796,                 0.9,             0.90787,             0.75337,           0.0075584,           0.0038401,          0.00094134,            0.008845,            0.008845,            0.008845
                  37,            0.020843,            0.008484,           0.0016052,             0.97091,                 0.9,             0.94306,             0.78558,           0.0052743,           0.0035088,          0.00093657,            0.008812,            0.008812,            0.008812
                  38,            0.024524,           0.0090556,           0.0018139,             0.85799,             0.85662,             0.94665,             0.77797,           0.0079721,           0.0039016,            0.000925,            0.008779,            0.008779,            0.008779
                  39,            0.021035,           0.0084602,           0.0018278,             0.97399,                 0.9,                0.94,             0.76035,            0.007354,           0.0037873,           0.0010952,            0.008746,            0.008746,            0.008746
