                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3287,                 6.1553,                 3.2289,                      0,                      0,                      0,                      0,                   5.71,                 6.6265,                 4.2613,               0.000375,               0.000375,               0.000375
                      2,                 2.5283,                 4.2962,                 2.3175,                      0,                      0,                      0,                      0,                 5.7019,                 6.2001,                 4.6307,             0.00075998,             0.00075998,             0.00075998
                      3,                 2.0885,                 3.4667,                 1.9922,                      0,                      0,                      0,                      0,                 5.2626,                 4.6495,                 4.3287,              0.0011424,              0.0011424,              0.0011424
                      4,                 1.7035,                 2.7726,                 1.7776,                 0.4172,                0.27053,                0.13785,                0.05083,                 1.7372,                 3.0827,                 1.8177,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.3918,                 2.3851,                 1.5589,                0.39166,                0.45879,                0.21955,                0.10887,                 1.6698,                 2.5987,                 1.9348,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.2382,                 2.1797,                 1.4277,                 0.7223,                0.13044,                0.13266,                0.11206,                 1.1743,                 3.2772,                 1.4904,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.1378,                 2.0631,                 1.3717,                0.47439,                0.49221,                0.26406,                0.18056,                 1.0399,                 2.1575,                 1.4303,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.0948,                 1.9141,                 1.3106,                0.48176,                0.40055,                0.30153,                0.21732,                 1.0315,                 1.7148,                 1.3889,              0.0012252,              0.0012252,              0.0012252
                      9,                0.97029,                 1.7503,                 1.2268,                0.56453,                 0.4129,                0.32652,                 0.2386,                 1.0085,                 1.9076,                 1.2314,              0.0012211,              0.0012211,              0.0012211
                     10,                0.92065,                 1.7445,                 1.2034,                0.46272,                0.67788,                0.26883,                0.20957,                 0.8647,                 1.8007,                 1.1826,               0.001217,               0.001217,               0.001217
